,name,alt_name,ra,dec,vmag,class,bv_color,ri_code,ri_color,spect_code,ub_color,spectral_type
113,HR1100,20    Eri,54.0725,-17.4669,5.23,STAR B9,-0.13,,,,-0.49,B
114,HR1101,10    Tau,54.2183,0.4017,4.28,STAR F9IV,0.58,,0.32,,0.07,F
115,HR1102,,54.4492,15.4308,6.39,STAR A5IV,0.17,,,,-0.06,A
116,HR1103,,54.7504,20.9158,6.5,STAR A0,0.15,,0.07,,0.19,A
117,HR1104,,53.6029,-65.7644,6.75,STAR A3V,0.17,,,,0.15,A
118,HR1106,,54.2738,-40.2747,4.58,STAR K1III,1.04,,0.57,,0.77,K
119,HR1107,,62.5062,86.6261,5.86,STAR F5IV,0.37,,,,0.0,F
120,HR1108,,54.6217,-7.3917,5.85,STAR,0.98,,,,0.76,G
121,HR1109,,52.495,-78.3519,5.7,STAR G8III,0.93,,,,0.65,G
122,HR111,,7.1796,-50.5328,6.26,STAR K0III,1.09,,,,,K
123,HR1110,,54.8571,16.5367,6.16,STAR K0III,1.0,,,,0.69,K
124,HR1111,21    Eri,54.7546,-5.6261,5.96,STAR K1V,0.92,,,,0.66,K
125,HR1112,,55.6779,59.9694,5.76,STAR K3II,1.71,,1.02,,1.82,K
126,HR1113,,55.2829,37.58,5.57,STAR B7V,-0.07,,,,-0.41,B
127,HR1114,Tau For,54.6987,-27.9431,6.01,STAR A0V,-0.02,,,,,A
128,HR1115,12    Tau,54.9629,3.0569,5.57,STAR,0.94,,,,0.67,K
129,HR1116,,54.9096,-3.3931,6.23,STAR G5,1.04,,,,0.89,K
130,HR1117,,54.8558,-10.4372,6.19,STAR G5,1.03,,,,,G
131,HR1118,11    Tau,55.1929,25.3294,6.11,STAR A2IV,0.06,,,,0.16,A
132,HR1119,,54.9979,-1.1206,6.12,STAR K1III,1.0,,,,0.77,K
133,HR112,,7.7292,77.0194,6.21,STAR K0IV,0.84,,,,0.54,K
134,HR1120,,55.0475,-15.2267,6.33,STAR G5,0.88,,,,,G
135,HR1121,22    Eri,55.1596,-5.2106,5.53,STAR B9III,-0.15,,,,-0.57,B
136,HR1122,39Del Per,55.7313,47.7875,3.01,STAR B5III,-0.13,,-0.11,t,-0.51,B
137,HR1123,40    Per,55.5938,33.965,4.97,STAR B0V,-0.01,,,,-0.84,B
138,HR1124,,56.5037,67.2017,5.8,STAR F0IV,0.35,,,,0.07,F
139,HR1125,,55.3075,-11.8031,6.49,STAR F5II,0.36,,,,0.02,F
140,HR1126,13    Tau,55.5788,19.7003,5.69,STAR B9V,-0.01,,,,-0.27,B
141,HR1127,,56.0267,48.5236,6.06,STAR K4III,1.55,,,,1.83,K
